mukim,state_id,district,state,postcode,locality
BANDAR JITRA,2,KUBANG PASU,KEDAH,06000,BANDAR JITRA
BANDAR KODIANG,2,KUBANG PASU,KEDAH,06100,BANDAR KODIANG
BANDAR TUNJANG,2,KUBANG PASU,KEDAH,06000,BANDAR TUNJANG
BANDAR BANDAR DARULAMAN,2,KUBANG PASU,KEDAH,06000,BANDAR BANDAR DARULAMAN
BANDAR PADANG SERA,2,KUBANG PASU,KEDAH,06100,BANDAR PADANG SERA
BANDAR KEPALA BATAS,2,KUBANG PASU,KEDAH,06200,BANDAR KEPALA BATAS
BANDAR BUKIT KAYU HITAM,2,KUBANG PASU,KEDAH,06050,BANDAR BUKIT KAYU HITAM
PEKAN AYER HITAM,2,KUBANG PASU,KEDAH,06150,PEKAN AYER HITAM
PEKAN KUALA SANGLANG,2,KUBANG PASU,KEDAH,06150,PEKAN KUALA SANGLANG
PEKAN SANGLANG,2,KUBANG PASU,KEDAH,06150,PEKAN SANGLANG
PEKAN KERPAN,2,KUBANG PASU,KEDAH,06150,PEKAN KERPAN
PEKAN SINTOK,2,KUBANG PASU,KEDAH,06100,PEKAN SINTOK
PEKAN NAPOH,2,KUBANG PASU,KEDAH,06000,PEKAN NAPOH
PEKAN SUNGAI KOROK,2,KUBANG PASU,KEDAH,06150,PEKAN SUNGAI KOROK
BATANG TUNGGANG KANAN,2,PADANG TERAP,KEDAH,06300,BATANG TUNGGANG KANAN
BATANG TUNGGANG KIRI,2,PADANG TERAP,KEDAH,06300,BATANG TUNGGANG KIRI
BELIMBING KANAN,2,PADANG TERAP,KEDAH,06300,BELIMBING KANAN
BELIMBING KIRI,2,PADANG TERAP,KEDAH,06300,BELIMBING KIRI
KURONG HITAM,2,PADANG TERAP,KEDAH,06300,KURONG HITAM
PADANG TERNAK,2,PADANG TERAP,KEDAH,06300,PADANG TERNAK
PADANG TERAP KANAN,2,PADANG TERAP,KEDAH,06300,PADANG TERAP KANAN
PADANG TERAP KIRI,2,PADANG TERAP,KEDAH,06300,PADANG TERAP KIRI
PEDU,2,PADANG TERAP,KEDAH,06300,PEDU
TEKAI,2,PADANG TERAP,KEDAH,06400,TEKAI
TOLAK,2,PADANG TERAP,KEDAH,06300,TOLAK
BANDAR KUALA NERANG,2,PADANG TERAP,KEDAH,06300,BANDAR KUALA NERANG
PEKAN NAKA,2,PADANG TERAP,KEDAH,06350,PEKAN NAKA
PEKAN DURIAN BURUNG,2,PADANG TERAP,KEDAH,06300,PEKAN DURIAN BURUNG
PEKAN LUBOK MERBAU,2,PADANG TERAP,KEDAH,06300,PEKAN LUBOK MERBAU
PEKAN BUKIT TEMBAGA,2,PADANG TERAP,KEDAH,06300,PEKAN BUKIT TEMBAGA
PEKAN PADANG SANAI,2,PADANG TERAP,KEDAH,06300,PEKAN PADANG SANAI
PEKAN KAMPUNG TANJUNG,2,PADANG TERAP,KEDAH,06300,PEKAN KAMPUNG TANJUNG
AYER HANGAT,2,LANGKAWI,KEDAH,07000,AYER HANGAT
BOHOR,2,LANGKAWI,KEDAH,07000,BOHOR
KEDAWANG,2,LANGKAWI,KEDAH,07000,KEDAWANG
KUAH,2,LANGKAWI,KEDAH,07000,KUAH
PADANG MASIRAT,2,LANGKAWI,KEDAH,07000,PADANG MASIRAT
ULU MELAKA,2,LANGKAWI,KEDAH,07000,ULU MELAKA
BANDAR KUAH,2,LANGKAWI,KEDAH,07000,BANDAR KUAH
BANDAR PADANG LALANG,2,LANGKAWI,KEDAH,07000,BANDAR PADANG LALANG
PEKAN TELOK DATAI,2,LANGKAWI,KEDAH,07000,PEKAN TELOK DATAI
BUJANG,2,KUALA MUDA,KEDAH,08100,BUJANG
BUKIT MERIAM,2,KUALA MUDA,KEDAH,06000,BUKIT MERIAM
GURUN,2,KUALA MUDA,KEDAH,08300,GURUN
HAJI KUDONG,2,KUALA MUDA,KEDAH,08500,HAJI KUDONG
KOTA,2,KUALA MUDA,KEDAH,08500,KOTA
KUALA,2,KUALA MUDA,KEDAH,06000,KUALA
MERBOK,2,KUALA MUDA,KEDAH,08400,MERBOK
PEKULA,2,KUALA MUDA,KEDAH,06000,PEKULA
PINANG TUNGGAL,2,KUALA MUDA,KEDAH,08000,PINANG TUNGGAL
RANTAU PANJANG,2,KUALA MUDA,KEDAH,08500,RANTAU PANJANG
SEMELING,2,KUALA MUDA,KEDAH,06000,SEMELING
SIDAM KIRI,2,KUALA MUDA,KEDAH,09400,SIDAM KIRI
SIMPOR,2,KUALA MUDA,KEDAH,08500,SIMPOR
SUNGAI PASIR,2,KUALA MUDA,KEDAH,08000,SUNGAI PASIR
SUNGAI PETANI,2,KUALA MUDA,KEDAH,08000,SUNGAI PETANI
TELOI KIRI,2,KUALA MUDA,KEDAH,06000,TELOI KIRI
BANDAR AMAN JAYA,2,KUALA MUDA,KEDAH,08000,BANDAR AMAN JAYA
BANDAR BEDONG,2,KUALA MUDA,KEDAH,08100,BANDAR BEDONG
BANDAR SUNGAI LALANG,2,KUALA MUDA,KEDAH,08100,BANDAR SUNGAI LALANG
BANDAR TIKAM BATU,2,KUALA MUDA,KEDAH,08600,BANDAR TIKAM BATU
PEKAN JENIANG,2,KUALA MUDA,KEDAH,08700,PEKAN JENIANG
PEKAN KOTA KUALA MUDA,2,KUALA MUDA,KEDAH,08500,PEKAN KOTA KUALA MUDA
PEKAN TANJUNG DAWAI,2,KUALA MUDA,KEDAH,08200,PEKAN TANJUNG DAWAI
DULANG,2,YAN,KEDAH,06900,DULANG
SALA BESAR,2,YAN,KEDAH,06900,SALA BESAR
SINGKIR,2,YAN,KEDAH,06900,SINGKIR
SUNGAI DAUN,2,YAN,KEDAH,06800,SUNGAI DAUN
YAN,2,YAN,KEDAH,06900,YAN
BANDAR GUAR CHEMPEDAK,2,YAN,KEDAH,08800,BANDAR GUAR CHEMPEDAK
BANDAR YAN,2,YAN,KEDAH,06900,BANDAR YAN
PEKAN SIMPANG TIGA SUNGAI LIMAU,2,YAN,KEDAH,06800,PEKAN SIMPANG TIGA SUNGAI LIMAU
PEKAN SUNGAI LIMAU DALAM,2,YAN,KEDAH,06900,PEKAN SUNGAI LIMAU DALAM
PEKAN TEROI,2,YAN,KEDAH,06900,PEKAN TEROI
PEKAN SINGKIR,2,YAN,KEDAH,06900,PEKAN SINGKIR
JENERI,2,SIK,KEDAH,08700,JENERI
SIK,2,SIK,KEDAH,08340,SIK
SOK,2,SIK,KEDAH,08210,SOK
TELOI,2,SIK,KEDAH,08340,TELOI
BANDAR SIK,2,SIK,KEDAH,08340,BANDAR SIK
PEKAN BATU LAMA SIK,2,SIK,KEDAH,08210,PEKAN BATU LAMA SIK
PEKAN GULAU,2,SIK,KEDAH,08210,PEKAN GULAU
PEKAN GAJAH PUTEH,2,SIK,KEDAH,08320,PEKAN GAJAH PUTEH
PEKAN CHAROK PADANG,2,SIK,KEDAH,08200,PEKAN CHAROK PADANG
BAKAI,2,BALING,KEDAH,09120,BAKAI
BALING,2,BALING,KEDAH,09100,BALING
BONGOR,2,BALING,KEDAH,09100,BONGOR
KUPANG,2,BALING,KEDAH,09200,KUPANG
KUPANG,2,BALING,KEDAH,09200,KUPANG
PULAI,2,BALING,KEDAH,09100,PULAI
SIONG,2,BALING,KEDAH,09100,SIONG
TAWAR,2,BALING,KEDAH,09100,TAWAR
TELOI KANAN,2,BALING,KEDAH,09310,TELOI KANAN
BANDAR BALING,2,BALING,KEDAH,09100,BANDAR BALING
BANDAR KUALA KETIL,2,BALING,KEDAH,09300,BANDAR KUALA KETIL
BANDAR KUALA KETIL,2,BALING,KEDAH,09300,BANDAR KUALA KETIL
BANDAR KUPANG,2,BALING,KEDAH,09200,BANDAR KUPANG
BANDAR KUPANG,2,BALING,KEDAH,09200,BANDAR KUPANG
PEKAN KAMPUNG BARU KEJAI,2,BALING,KEDAH,09120,PEKAN KAMPUNG BARU KEJAI
PEKAN PULAI,2,BALING,KEDAH,09100,PEKAN PULAI
PEKAN TAWAR,2,BALING,KEDAH,09100,PEKAN TAWAR
PEKAN KUALA PEGANG,2,BALING,KEDAH,09100,PEKAN KUALA PEGANG
PEKAN PARIT PANJANG,2,BALING,KEDAH,09200,PEKAN PARIT PANJANG
PEKAN KAMPUNG LALANG,2,BALING,KEDAH,09100,PEKAN KAMPUNG LALANG
PEKAN MALAU,2,BALING,KEDAH,09000,PEKAN MALAU
BAGAN SENA,2,KULIM,KEDAH,09000,BAGAN SENA
JUNJONG,2,KULIM,KEDAH,09000,JUNJONG
KARANGAN,2,KULIM,KEDAH,09410,KARANGAN
KARANGAN,2,KULIM,KEDAH,09410,KARANGAN
KELADI,2,KULIM,KEDAH,09000,KELADI
KULIM,2,KULIM,KEDAH,09000,KULIM
LUNAS,2,KULIM,KEDAH,09600,LUNAS
LUNAS,2,KULIM,KEDAH,09600,LUNAS
MAHANG,2,KULIM,KEDAH,09700,MAHANG
NAGA LILIT,2,KULIM,KEDAH,09400,NAGA LILIT
PADANG CHINA,2,KULIM,KEDAH,09600,PADANG CHINA
PADANG MEHA,2,KULIM,KEDAH,09010,PADANG MEHA
SEDIM,2,KULIM,KEDAH,09700,SEDIM
SIDAM KANAN,2,KULIM,KEDAH,09400,SIDAM KANAN
SUNGAI SELUANG,2,KULIM,KEDAH,09600,SUNGAI SELUANG
SUNGAI ULAR,2,KULIM,KEDAH,09000,SUNGAI ULAR
TERAP,2,KULIM,KEDAH,09800,TERAP
BANDAR KULIM,2,KULIM,KEDAH,09000,BANDAR KULIM
BANDAR LUNAS,2,KULIM,KEDAH,09600,BANDAR LUNAS
BANDAR LUNAS,2,KULIM,KEDAH,09600,BANDAR LUNAS
BANDAR PADANG SERAI,2,KULIM,KEDAH,09400,BANDAR PADANG SERAI
BANDAR PADANG SERAI,2,KULIM,KEDAH,09400,BANDAR PADANG SERAI
PEKAN JUNJONG,2,KULIM,KEDAH,09000,PEKAN JUNJONG
PEKAN KARANGAN,2,KULIM,KEDAH,09410,PEKAN KARANGAN
PEKAN KARANGAN,2,KULIM,KEDAH,09410,PEKAN KARANGAN
PEKAN LABU BESAR,2,KULIM,KEDAH,09010,PEKAN LABU BESAR
PEKAN LABU BESAR,2,KULIM,KEDAH,09010,PEKAN LABU BESAR
PEKAN MAHANG,2,KULIM,KEDAH,09700,PEKAN MAHANG
PEKAN MERBAU PULAS,2,KULIM,KEDAH,09300,PEKAN MERBAU PULAS
PEKAN SUNGAI KARANGAN,2,KULIM,KEDAH,09410,PEKAN SUNGAI KARANGAN
PEKAN SUNGAI KARANGAN,2,KULIM,KEDAH,09410,PEKAN SUNGAI KARANGAN
PEKAN SUNGAI KOB,2,KULIM,KEDAH,09700,PEKAN SUNGAI KOB
PEKAN PADANG MEHA,2,KULIM,KEDAH,09010,PEKAN PADANG MEHA
BAGAN SAMAK,2,BANDAR BAHARU,KEDAH,34950,BAGAN SAMAK
KUALA SELAMA,2,BANDAR BAHARU,KEDAH,09800,KUALA SELAMA
PERMATANG PASIR,2,BANDAR BAHARU,KEDAH,34950,PERMATANG PASIR
RELAU,2,BANDAR BAHARU,KEDAH,14290,RELAU
SERDANG,2,BANDAR BAHARU,KEDAH,09810,SERDANG
SERDANG,2,BANDAR BAHARU,KEDAH,09810,SERDANG
SUNGAI BATU,2,BANDAR BAHARU,KEDAH,09800,SUNGAI BATU
SUNGAI KECHIL,2,BANDAR BAHARU,KEDAH,34950,SUNGAI KECHIL
BANDAR BANDAR BAHARU,2,BANDAR BAHARU,KEDAH,34950,BANDAR BANDAR BAHARU
BANDAR SERDANG,2,BANDAR BAHARU,KEDAH,09800,BANDAR SERDANG
BANDAR SERDANG,2,BANDAR BAHARU,KEDAH,09800,BANDAR SERDANG
PEKAN LUBUK BUNTAR,2,BANDAR BAHARU,KEDAH,09800,PEKAN LUBUK BUNTAR
PEKAN SELAMA,2,BANDAR BAHARU,KEDAH,09800,PEKAN SELAMA
PEKAN SUNGAI KECIL ILIR,2,BANDAR BAHARU,KEDAH,14390,PEKAN SUNGAI KECIL ILIR
PEKAN RELAU,2,BANDAR BAHARU,KEDAH,14290,PEKAN RELAU
AYER PUTEH,2,PENDANG,KEDAH,06700,AYER PUTEH
BUKIT RAYA,2,PENDANG,KEDAH,06700,BUKIT RAYA
GUAR KEPAYANG,2,PENDANG,KEDAH,06700,GUAR KEPAYANG
GUAR KEPAYANG,2,PENDANG,KEDAH,06700,GUAR KEPAYANG
PADANG KERBAU,2,PENDANG,KEDAH,06700,PADANG KERBAU
PADANG PELIANG,2,PENDANG,KEDAH,06750,PADANG PELIANG
PADANG PUSING,2,PENDANG,KEDAH,06700,PADANG PUSING
RAMBAI,2,PENDANG,KEDAH,06400,RAMBAI
TOBIAR,2,PENDANG,KEDAH,06700,TOBIAR
BANDAR PEDANG,2,PENDANG,KEDAH,06700,BANDAR PEDANG
PEKAN BUKIT JENUN,2,PENDANG,KEDAH,06720,PEKAN BUKIT JENUN
PEKAN KUBUR PANJANG,2,PENDANG,KEDAH,06400,PEKAN KUBUR PANJANG
PEKAN TANAH MERAH,2,PENDANG,KEDAH,06700,PEKAN TANAH MERAH
PEKAN TOKAI,2,PENDANG,KEDAH,06650,PEKAN TOKAI
PEKAN KOBAH,2,PENDANG,KEDAH,06800,PEKAN KOBAH
PEKAN KAMPUNG BARU,2,PENDANG,KEDAH,06800,PEKAN KAMPUNG BARU
PEKAN SUNGAI TIANG,2,PENDANG,KEDAH,06800,PEKAN SUNGAI TIANG
PEKAN SUNGAI TIANG,2,PENDANG,KEDAH,06800,PEKAN SUNGAI TIANG
DERANG,2,POKOK SENA,KEDAH,06400,DERANG
GAJAH MATI,2,POKOK SENA,KEDAH,06400,GAJAH MATI
JABI,2,POKOK SENA,KEDAH,06400,JABI
LESONG,2,POKOK SENA,KEDAH,06350,LESONG
TUALANG,2,POKOK SENA,KEDAH,06400,TUALANG
BUKIT LADA,2,POKOK SENA,KEDAH,06400,BUKIT LADA
BANDAR POKOK SENA,2,POKOK SENA,KEDAH,06400,BANDAR POKOK SENA
PEKAN KEBUN 500,2,POKOK SENA,KEDAH,06400,PEKAN KEBUN 500
ALOR BAKAT,3,BACHOK,KELANTAN,16300,ALOR BAKAT
BACKHOK,3,BACHOK,KELANTAN,16300,BACKHOK
BATOR,3,BACHOK,KELANTAN,16300,BATOR
CHAP,3,BACHOK,KELANTAN,16300,CHAP
CHERANG HANGUS,3,BACHOK,KELANTAN,16300,CHERANG HANGUS
GAJAH MATI,3,BACHOK,KELANTAN,16300,GAJAH MATI
GUNONG,3,BACHOK,KELANTAN,16300,GUNONG
KUAU,3,BACHOK,KELANTAN,16300,KUAU
KEMASIN,3,BACHOK,KELANTAN,16300,KEMASIN
KUBANG TELAGA,3,BACHOK,KELANTAN,16300,KUBANG TELAGA
KUCHELONG,3,BACHOK,KELANTAN,16300,KUCHELONG
LUBOK TEMBESU,3,BACHOK,KELANTAN,16300,LUBOK TEMBESU
MAK LIPAH,3,BACHOK,KELANTAN,16300,MAK LIPAH
MELAWI,3,BACHOK,KELANTAN,16300,MELAWI
NIPAH,3,BACHOK,KELANTAN,16300,NIPAH
PAK PURA,3,BACHOK,KELANTAN,16300,PAK PURA
PAUH SEMBILAN,3,BACHOK,KELANTAN,16300,PAUH SEMBILAN
PAYA MENGKUANG,3,BACHOK,KELANTAN,16300,PAYA MENGKUANG
PERUPOK,3,BACHOK,KELANTAN,16300,PERUPOK
REPEK,3,BACHOK,KELANTAN,16300,REPEK
RUSA,3,BACHOK,KELANTAN,16300,RUSA
SENAK,3,BACHOK,KELANTAN,16300,SENAK
SERDANG,3,BACHOK,KELANTAN,16300,SERDANG
TAKANG,3,BACHOK,KELANTAN,16300,TAKANG
TANJONG,3,BACHOK,KELANTAN,16300,TANJONG
TANJONG JERING,3,BACHOK,KELANTAN,16300,TANJONG JERING
TANJONG PAUH,3,BACHOK,KELANTAN,16300,TANJONG PAUH
TELOK MESIRA,3,BACHOK,KELANTAN,16300,TELOK MESIRA
TELONG,3,BACHOK,KELANTAN,16300,TELONG
TEMU RANGGAS,3,BACHOK,KELANTAN,16300,TEMU RANGGAS
TEPUS,3,BACHOK,KELANTAN,16300,TEPUS
TUALANG SALAK,3,BACHOK,KELANTAN,16300,TUALANG SALAK
BANDAR BACHOK,3,BACHOK,KELANTAN,16300,BANDAR BACHOK
PEKAN JELAWAT,3,BACHOK,KELANTAN,16070,PEKAN JELAWAT
PEKAN JELAWAT,3,BACHOK,KELANTAN,16300,PEKAN JELAWAT
AUR DURI,3,KOTA BHARU,KELANTAN,15100,AUR DURI
BADAK MATI,3,KOTA BHARU,KELANTAN,16150,BADAK MATI
BADAK,3,KOTA BHARU,KELANTAN,16150,BADAK
BADANG,3,KOTA BHARU,KELANTAN,15350,BADANG
BANGGU,3,KOTA BHARU,KELANTAN,16150,BANGGU
BANGGOL,3,KOTA BHARU,KELANTAN,15350,BANGGOL
BAUNG,3,KOTA BHARU,KELANTAN,16100,BAUNG
BAYANG,3,KOTA BHARU,KELANTAN,15200,BAYANG
BECHAH MULONG,3,KOTA BHARU,KELANTAN,16010,BECHAH MULONG
BETA HULU,3,KOTA BHARU,KELANTAN,16450,BETA HULU
BETA HILIR,3,KOTA BHARU,KELANTAN,15100,BETA HILIR
BETING,3,KOTA BHARU,KELANTAN,16100,BETING
BIAH,3,KOTA BHARU,KELANTAN,16010,BIAH
BINJAI,3,KOTA BHARU,KELANTAN,16450,BINJAI
BULOH POH,3,KOTA BHARU,KELANTAN,15200,BULOH POH
BUNUT PAYONG,3,KOTA BHARU,KELANTAN,15150,BUNUT PAYONG
BUT,3,KOTA BHARU,KELANTAN,15100,BUT
CHEKLI,3,KOTA BHARU,KELANTAN,15100,CHEKLI
CHEKOK,3,KOTA BHARU,KELANTAN,16100,CHEKOK
CHE LATIFF,3,KOTA BHARU,KELANTAN,,CHE LATIFF
CHICHA,3,KOTA BHARU,KELANTAN,16100,CHICHA
DAL,3,KOTA BHARU,KELANTAN,16400,DAL
DEMIT,3,KOTA BHARU,KELANTAN,16100,DEMIT
DUSON RENDAH,3,KOTA BHARU,KELANTAN,16100,DUSON RENDAH
GUNTONG,3,KOTA BHARU,KELANTAN,16450,GUNTONG
JELUTONG,3,KOTA BHARU,KELANTAN,16100,JELUTONG
KADOK,3,KOTA BHARU,KELANTAN,,KADOK
KARANG,3,KOTA BHARU,KELANTAN,15100,KARANG
KAMPONG SIREH,3,KOTA BHARU,KELANTAN,15000,KAMPONG SIREH
KEDAI BULOH,3,KOTA BHARU,KELANTAN,15350,KEDAI BULOH
KIJANG,3,KOTA BHARU,KELANTAN,16100,KIJANG
KEMUBU,3,KOTA BHARU,KELANTAN,,KEMUBU
KEMUMIN,3,KOTA BHARU,KELANTAN,16100,KEMUMIN
KENALI,3,KOTA BHARU,KELANTAN,16100,KENALI
KETEREH BARAT,3,KOTA BHARU,KELANTAN,16450,KETEREH BARAT
KETEREH TIMOR,3,KOTA BHARU,KELANTAN,16450,KETEREH TIMOR
KOH,3,KOTA BHARU,KELANTAN,15050,KOH
KOTA,3,KOTA BHARU,KELANTAN,15000,KOTA
LANGGAR,3,KOTA BHARU,KELANTAN,,LANGGAR
LEMBU,3,KOTA BHARU,KELANTAN,15100,LEMBU
LUBOK JAMBU,3,KOTA BHARU,KELANTAN,,LUBOK JAMBU
LUBOK PUKOL,3,KOTA BHARU,KELANTAN,16100,LUBOK PUKOL
LUNDANG,3,KOTA BHARU,KELANTAN,15150,LUNDANG
LUNDANG PAKU,3,KOTA BHARU,KELANTAN,15150,LUNDANG PAKU
MAHANG BARAT,3,KOTA BHARU,KELANTAN,16450,MAHANG BARAT
MAHANG TIMOR,3,KOTA BHARU,KELANTAN,16450,MAHANG TIMOR
MENTUAN,3,KOTA BHARU,KELANTAN,16100,MENTUAN
MELOR,3,KOTA BHARU,KELANTAN,16400,MELOR
PADANG BONGOR,3,KOTA BHARU,KELANTAN,16100,PADANG BONGOR
PADANG ENGGANG,3,KOTA BHARU,KELANTAN,15100,PADANG ENGGANG
PADANG GARONG,3,KOTA BHARU,KELANTAN,15050,PADANG GARONG
PADANG LEBAN,3,KOTA BHARU,KELANTAN,16100,PADANG LEBAN
PADANG RAJA,3,KOTA BHARU,KELANTAN,15100,PADANG RAJA
PADANG SAKAR,3,KOTA BHARU,KELANTAN,15100,PADANG SAKAR
PADANG TENGAH,3,KOTA BHARU,KELANTAN,15100,PADANG TENGAH
PANCHOR,3,KOTA BHARU,KELANTAN,16100,PANCHOR
PANGKAL PISANG,3,KOTA BHARU,KELANTAN,16100,PANGKAL PISANG
PARIT,3,KOTA BHARU,KELANTAN,15000,PARIT
PASIR HA,3,KOTA BHARU,KELANTAN,15000,PASIR HA
PASIR MAS,3,KOTA BHARU,KELANTAN,17000,PASIR MAS
PATEK,3,KOTA BHARU,KELANTAN,16100,PATEK
PAUH,3,KOTA BHARU,KELANTAN,16450,PAUH
PAYA,3,KOTA BHARU,KELANTAN,15050,PAYA
PENDEK,3,KOTA BHARU,KELANTAN,16150,PENDEK
PANGKALAN CHEPA,3,KOTA BHARU,KELANTAN,16100,PANGKALAN CHEPA
PERINGAT,3,KOTA BHARU,KELANTAN,16400,PERINGAT
PEROL,3,KOTA BHARU,KELANTAN,15100,PEROL
PINTU GANG,3,KOTA BHARU,KELANTAN,15100,PINTU GANG
PULAU,3,KOTA BHARU,KELANTAN,15050,PULAU
PULAU BELANGA,3,KOTA BHARU,KELANTAN,15050,PULAU BELANGA
