page,Company Name,Address
30543.0,Symwesco Home Decorations,"No. 5, Jln Austin Perdana 3/8, Taman Austin Perdana
, Johor Bahru, Johor"
30543.0,Ivc Paints & Coatings (M) Sdn Bhd,"PLO194, Jln Angkasa Mas 5, Kaw Perindustrian Tebrau Ii
, Johor Bahru, Johor"
30543.0,Amma Foundation,"No. 40, 2nd Floor, Lrg Rahim Kajai 14, Taman Tun Dr Ismail
, Kuala Lumpur, Kuala Lumpur"
30543.0,Law Teck Shiong,"Centro,,
, Kuala Lumpur, Kuala Lumpur"
30543.0,Go Fuoi Yeeh,"No. 849, Jln 35, Kampung Baru Salak Selatan
, Kuala Lumpur, Kuala Lumpur"
30543.0,Syaiful Reedza Zulkifli,"No. 3411, Jln Selasih C/1, Taman Selasih
, Kulim, Kedah"
30543.0,Saf Sepakat Sdn Bhd,"13-1A, Jln Putra 7, Taman Putra
, Kajang, Selangor"
30543.0,Orga Systems (Asia) Sdn Bhd,"No. 161, 10th Floor, Menara Naluri, Jln Ampang,
, Kuala Lumpur, Kuala Lumpur"
30543.0,Eagle Haulage Sdn Bhd,"No. 27, 1st Floor, Jln Tengku Badar,
, Pelabuhan Klang, Selangor"
30543.0,Muniandy Suppiah,", Pusat Bandar Rawang
, Cheras, Kuala Lumpur"
30543.0,Masif Latex Prod Sdn Bhd,", Sengat Estate
, Kampung Kepayang, Perak"
30543.0,Media Zone Sales & Services,"Jalan Kepong Batu 8 1/2,, Komplek Desa,
, Kepong, Kuala Lumpur"
30571.0,CTS Manufacturer (M) Sdn Bhd,"No. 18, Jln Dedap 13, Taman Johor Jaya
, Johor Bahru, Johor"
30571.0,Path To Excellence,"Kota Villas, Jln Kota Off Jalan Duta, Bukit Ledang
, Kuala Lumpur, Kuala Lumpur"
30571.0,Proactive Art Trading,"No. 780, 1st Floor, Jln Besar, Taman Jawi
, Simpang Ampat, Pulau Pinang"
30571.0,Kimawari Construction,"13-2B, Jln 15/1c, Seksyen 15
, Bandar Baru Bangi, Selangor"
30571.0,Luxurious Interior Sdn Bhd,"No. 1365, 1st Floor, Jln Hockien,
, Miri, Sarawak"
30571.0,Global Kenki Trading Sdn Bhd,"No. 25, Ground Floor, Jln Bintulu-sibu Junction, Bbc Industrial Estate
, Bintulu, Sarawak"
30571.0,Samyep Holdings (M) Sdn Bhd,"No. 8, Jln Yu Seng Utara,
, Miri, Sarawak"
30571.0,Hok Mun Restaurant,"No. 29, Jln Todak 4, Pusatbandar
, Perai, Pulau Pinang"
30571.0,Think Tent Enterprise,"Jln Tiga, Pusat Perniagaan Pekan
, Sungai Petani, Kedah"
30571.0,Sky Laundry,"No. 4, Ground Floor, Lrg Kampung Datu 11, Kampung Datu
, Sibu, Sarawak"
30571.0,Draco Enterprise,"B-20, Ground Floor,, Plaza Utama
, Penampang, Sabah"
30571.0,Precious Ones Collections Sdn Bhd,"No. 56, Lrg Selamat,
, Georgetown, Pulau Pinang"
30518.0,Wins Cosmo Glass Sdn Bhd,"Jln Tpp 5/5, Taman Industri Puchong
, Puchong, Selangor"
30518.0,Wan Foong Welding Works Sdn Bhd,"Jln Sawi 2, Taman Sri Senai
, Senai, Johor"
30518.0,Forever Bridge Resources,"No. 11, Jln 2/115c, Taman Kuchai Jaya
, Kuala Lumpur, Kuala Lumpur"
30518.0,Yee Kien Leong,"L-01-04, Jln Ppk 1, Pusat Perniagaan Kinrara
, Puchong, Selangor"
30518.0,Euggenia Constn Sdn Bhd,"116-02, 2nd Floor, Jln Pendidikan 7,, Taman Universiti,
, Johor Bahru, Johor"
30518.0,Loh Eng Hong,"2nd Floor, Blok 2, Gat Lebuh Macallum,
, Georgetown, Pulau Pinang"
30518.0,Quek Kim Hon,"47B, Jln Medan Ipoh 1A, Medan Ipoh Bestari
, Ipoh, Perak"
30518.0,Hiew Swee Yin,"No. 42, 1st Floor, Jln Ss 23/11, SS23
, Petaling Jaya, Selangor"
30518.0,Kingkoil Corpn (M) Sdn Bhd,"No. 56, Lts Perajurit 6, Taman Ipoh Timur
, Ipoh, Perak"
30518.0,Nt Network Cent,"5-22, Ground Floor, Jln Haji Jaib,
, Muar, Johor"
30518.0,City Chain (M) Sdn Bhd,"Ground Floor, 1 Borneo Block C, Jln Ums, 1 Borneo
, Kota Kinabalu, Sabah"
30518.0,Boo Soon Kian,"No. 45, Jln Besar,
, Rengit, Johor"
30570.0,Kumai Industri Sdn Bhd,"No. 13, Jln Industri Mas 10, Taman Mas
, Puchong, Selangor"
30570.0,My Advertising Enterprise,"No. 6, Ground Floor, Soon Hup Commercial Complex,,
, Miri, Sarawak"
30570.0,Berestu Corporation (M) Sdn Bhd,"4A, Berestu Corporation, Jln 2A Kkip Timur, IZ8A Kkip
, Kota Kinabalu, Sabah"
30570.0,Lim Chee Seng,"No. 125, Jln A1, Taman Melawati
, Kuala Lumpur, Kuala Lumpur"
30570.0,Ellyna Beauty Spa,"12A, Psn Silibin Utara, Silibin
, Ipoh, Perak"
30570.0,Man Wah Mechanical Engrg Work,"No. 6, Jln 35 Kaw 16, Kaw Perindustrian Sungai Rasa
, Klang, Selangor"
30570.0,Chop Yong Heng,"No. 100, Jln Trus,
, Johor Bahru, Johor"
30570.0,Chop Yong Heng,"No. 23, Jln Bakawali 50, Taman Johor Jaya
, Johor Bahru, Johor"
30570.0,Impian Sejagat Trading,"No. 1, Jln Damai Perdana 2/13b,, Bandar Damai Perdana,
, Kuala Lumpur, Kuala Lumpur"
30570.0,Celcom Mobile Sdn Bhd,"No. 3, Jln Tun Ahmad Zaidi Adruce, Central Park
, Kuching, Sarawak"
